cnd,test_eye,transient_counts,cdt,mdt,dtstd,key_press_list
12,1,2,19.965419054031372,19.965419054031372,0.0,[19.965419054031372]
6,1,4,6.450634241104126,3.225317120552063,2.4121419191360474,"[5.63745903968811, 0.8131752014160156]"
6,1,2,8.565220832824707,8.565220832824707,0.0,[8.565220832824707]
6,1,2,15.125701904296875,15.125701904296875,0.0,[15.125701904296875]
6,1,2,3.133347749710083,3.133347749710083,0.0,[3.133347749710083]
3,1,0,0.0,0.0,0.0,[]
9,1,2,18.205780029296875,18.205780029296875,0.0,[18.205780029296875]
6,1,4,9.899061918258667,4.9495309591293335,2.671878933906555,"[7.621409893035889, 2.2776520252227783]"
3,1,2,4.781408071517944,4.781408071517944,0.0,[4.781408071517944]
12,1,2,16.38174319267273,16.38174319267273,0.0,[16.38174319267273]
9,1,4,9.075044870376587,4.5375224351882935,1.219875693321228,"[5.7573981285095215, 3.3176467418670654]"
12,1,4,14.33095383644104,7.16547691822052,2.7601550817489624,"[4.405321836471558, 9.925631999969482]"
12,1,2,12.30965518951416,12.30965518951416,0.0,[12.30965518951416]
9,1,2,17.83129596710205,17.83129596710205,0.0,[17.83129596710205]
9,1,2,16.789833784103394,16.789833784103394,0.0,[16.789833784103394]
9,1,2,14.725718021392822,14.725718021392822,0.0,[14.725718021392822]
3,1,2,2.12532114982605,2.12532114982605,0.0,[2.12532114982605]
12,1,2,12.877706050872803,12.877706050872803,0.0,[12.877706050872803]
6,1,2,14.461421728134155,14.461421728134155,0.0,[14.461421728134155]
9,1,2,18.973756074905396,18.973756074905396,0.0,[18.973756074905396]
3,1,2,9.301568031311035,9.301568031311035,0.0,[9.301568031311035]
12,1,2,15.893572092056274,15.893572092056274,0.0,[15.893572092056274]
3,1,4,5.090775966644287,2.5453879833221436,0.524033784866333,"[2.0213541984558105, 3.0694217681884766]"
3,1,2,7.16523003578186,7.16523003578186,0.0,[7.16523003578186]
