cnd,test_eye,transient_counts,cdt,mdt,dtstd,key_press_list
9,1,12,12.265065670013428,2.0441776116689048,1.0312541387735314,"[1.7638440132141113, 2.0455739498138428, 0.8453269004821777, 3.6134698390960693, 3.0934629440307617, 0.9033880233764648]"
3,1,4,2.3304531574249268,1.1652265787124634,0.17604053020477295,"[0.9891860485076904, 1.3412671089172363]"
3,1,4,1.1949379444122314,0.5974689722061157,0.143821120262146,"[0.7412900924682617, 0.4536478519439697]"
9,1,10,12.915406942367554,2.5830813884735107,2.102861273272291,"[6.0694420337677, 3.725545883178711, 0.26981401443481445, 1.9812171459197998, 0.8693878650665283]"
9,1,8,15.95290231704712,3.98822557926178,2.668414687899368,"[3.0694217681884766, 8.501976251602173, 1.5575931072235107, 2.823911190032959]"
6,1,12,9.865541934967041,1.6442569891611736,0.6228352274351785,"[1.6856369972229004, 1.5814828872680664, 0.7331991195678711, 2.6616718769073486, 1.1257920265197754, 2.077759027481079]"
3,1,4,2.57903790473938,1.28951895236969,0.0918658971786499,"[1.3813848495483398, 1.19765305519104]"
12,1,18,15.555587768554688,1.7283986409505208,2.0099505236433117,"[6.189769983291626, 1.8699531555175781, 0.5177600383758545, 4.261478900909424, 0.09374833106994629, 1.4936270713806152, 0.0378420352935791, 0.8375799655914307, 0.2538282871246338]"
12,1,12,9.153356313705444,1.525559385617574,0.8426932918612544,"[2.7337050437927246, 2.1897239685058594, 1.6217458248138428, 1.316990852355957, 0.029707670211791992, 1.2614829540252686]"
3,1,0,0.0,0.0,0.0,[]
3,1,2,1.1011981964111328,1.1011981964111328,0.0,[1.1011981964111328]
9,1,10,18.708153247833252,3.7416306495666505,2.8694883267439306,"[5.381785154342651, 1.3172318935394287, 2.989732027053833, 8.437601089477539, 0.5818030834197998]"
6,1,10,12.859630823135376,2.571926164627075,1.422785926366383,"[3.0933430194854736, 3.4776360988616943, 1.2775988578796387, 4.42194390296936, 0.589108943939209]"
6,1,12,16.258381128311157,2.7097301880518594,1.8153127795735842,"[5.381407976150513, 2.117636203765869, 0.4376509189605713, 3.3418428897857666, 0.6698689460754395, 4.309974193572998]"
12,1,12,24.306938886642456,4.051156481107076,1.594852784836071,"[5.0217390060424805, 3.245755910873413, 2.5095808506011963, 4.437888860702515, 6.854114055633545, 2.2378602027893066]"
12,1,10,23.55681347846985,4.711362695693969,4.395809652877778,"[3.3177061080932617, 1.9895410537719727, 13.406208992004395, 1.6537389755249023, 3.1896183490753174]"
12,1,12,21.249696731567383,3.541616121927897,2.2080418486035502,"[2.52571702003479, 7.253809690475464, 4.781665086746216, 1.6776649951934814, 4.413405895233154, 0.5974340438842773]"
12,1,8,23.27036190032959,5.8175904750823975,2.6284867453723555,"[3.2609851360321045, 6.422011852264404, 9.861963987350464, 3.725400924682617]"
6,1,8,10.638148069381714,2.6595370173454285,1.7938126122817728,"[1.541426181793213, 5.765233039855957, 1.6777379512786865, 1.6537508964538574]"
3,1,0,0.0,0.0,0.0,[]
6,1,6,24.804605960845947,8.268201986948648,3.260025148608051,"[4.43979811668396, 7.957737922668457, 12.40706992149353]"
9,1,10,21.50073504447937,4.300147008895874,2.8240907865912908,"[3.477583169937134, 8.022025108337402, 7.046044826507568, 2.445603847503662, 0.5094780921936035]"
6,1,8,11.766722202301025,2.9416805505752563,1.219108092697275,"[2.6690750122070312, 2.9503581523895264, 4.781813144683838, 1.3654758930206299]"
9,1,10,22.060147047042847,4.41202940940857,1.23346023206162,"[4.077444076538086, 3.941016912460327, 3.1896109580993652, 6.790330171585083, 4.061744928359985]"
