cnd,test_eye,transient_counts,cdt,mdt,dtstd,key_press_list
3,1,2,0.11749601364135742,0.11749601364135742,0.0,[0.11749601364135742]
9,1,8,12.798230648040771,3.199557662010193,2.296686949458393,"[5.829439878463745, 1.317366123199463, 0.5496809482574463, 5.101743698120117]"
3,1,2,0.853355884552002,0.853355884552002,0.0,[0.853355884552002]
9,1,10,17.700167655944824,3.540033531188965,0.7854675477856082,"[4.037343978881836, 3.309353828430176, 4.485463857650757, 2.173779010772705, 3.6942269802093506]"
9,1,10,9.483346939086914,1.8966693878173828,1.0813430855958603,"[3.4854557514190674, 1.4933600425720215, 2.837409019470215, 0.7492280006408691, 0.9178941249847412]"
12,1,6,23.168387174606323,7.722795724868774,4.078712858141839,"[9.597390174865723, 11.509720087051392, 2.061276912689209]"
9,1,10,23.341029405593872,4.668205881118775,3.763951362061697,"[0.14167284965515137, 6.429806232452393, 10.717990159988403, 4.645795106887817, 1.4057650566101074]"
6,1,10,8.747699499130249,1.7495398998260498,0.7831632192493799,"[2.5415868759155273, 0.8294410705566406, 2.6137900352478027, 1.9175753593444824, 0.8453061580657959]"
9,1,8,21.278839349746704,5.319709837436676,1.494768936976578,"[3.237663984298706, 5.541643142700195, 7.4378650188446045, 5.061667203903198]"
3,1,0,0.0,0.0,0.0,[]
6,1,12,9.496843814849854,1.5828073024749756,0.8470967680908786,"[2.581627130508423, 0.6614272594451904, 1.4937162399291992, 1.1894500255584717, 2.8374931812286377, 0.7331299781799316]"
6,1,6,6.224066972732544,2.074688990910848,0.687217488618445,"[3.037297010421753, 1.7093210220336914, 1.4774489402770996]"
9,1,6,23.537225008010864,7.845741669336955,4.144154722287276,"[11.189718008041382, 10.342013835906982, 2.0054931640625]"
12,1,10,21.508718729019165,4.301743745803833,3.845408061511749,"[1.2773959636688232, 4.365816116333008, 11.477638006210327, 0.7097086906433105, 3.6781599521636963]"
12,1,8,18.68036985397339,4.670092463493347,4.245009771738421,"[0.7256591320037842, 11.31921100616455, 1.237673044204712, 5.397826671600342]"
6,1,4,7.268280506134033,3.6341402530670166,2.4433236122131348,"[1.1908166408538818, 6.077463865280151]"
12,1,10,19.82251524925232,3.964503049850464,3.0636909891038133,"[0.8857100009918213, 0.7593910694122314, 8.045937061309814, 3.0538041591644287, 7.077672958374023]"
12,1,4,23.739748001098633,11.869874000549316,11.304139852523804,"[0.5657341480255127, 23.17401385307312]"
3,1,0,0.0,0.0,0.0,[]
12,1,6,13.93647289276123,4.645490964253743,5.452852761053932,"[0.37358713150024414, 1.2214488983154297, 12.341436862945557]"
6,1,4,2.8348560333251953,1.4174280166625977,0.18013215065002441,"[1.2372958660125732, 1.597560167312622]"
6,1,2,0.6532647609710693,0.6532647609710693,0.0,[0.6532647609710693]
3,1,2,0.709158182144165,0.709158182144165,0.0,[0.709158182144165]
3,1,2,0.32539796829223633,0.32539796829223633,0.0,[0.32539796829223633]
